course code,course name,credits,upper level
GRMN 455,"Selected Authors, Works and Themes",3,True
GRMN 465,Postwall Germany: Literature and Culture,3,True
HBNS 310,Nutrition and Activity,3,True
HEBR 105,Hebrew I - Elementary,4,False
HEBR 106,Hebrew II - Elementary/Intermediate,4,False
HEBR 107,Hebrew III - Intermediate,4,True
HEBR 205,Hebrew Conversation,3,True
HEBR 366,Independent Study,1-3,True
HEBR 466,Independent Study,1-6,True
HIST 400,History Capstone Seminar,3,True
HIST 411,Seminar in American History,3,True
HIST 439,Women and Revolution in Africa,3,True
HIST 444,Seminar: Women in the Islamic Middle East,3,True
HIST 464,Internship in History,3,True
HIST 471,Seminar in Medieval History,3,True
HIST 473,Seminar in Early Modern European History,3,True
HIST 474,Seminar in British History,3,True
HIST 475,Seminar in Modern European History,3,True
HIST 477,Seminar in Latin American History,3,True
HIST 479,Seminar in Asian History,3,True
HIST 480,Seminar in World History,3,True
HIST 491,Planning a Course of Instruction,3,True
HIST 493,Problems in Teaching History and Social Sciences,3,True
ITAL 105,Italian I - Elementary,3-4,False
ITAL 106,Italian II - Elementary/Intermediate,3-4,False
ITAL 107,Italian III - Intermediate,3-4,True
ITAL 200,Italy Today,3,True
ITAL 205,Italian Conversation,3,True
ITAL 250,Introduction to Business Italian,3,True
ITAL 300,Advanced Italian Composition and Grammar,3,True
ITAL 305,Advanced Italian Conversation,3,True
ITAL 310,Survey of Italian Literature,3,True
ITAL 311,Survey of Italian Literature,3,True
ITAL 325,Italian Civilization and Culture I,3,True
ITAL 326,Italian Civilization and Culture II,3,True
ITAL 355,Special Topics,3,True
ITAL 401,Advanced Italian Grammar and Stylistics,3,True
ITAL 455,"Selected Authors, Works and Themes",3-12,True
JAPN 105,Japanese I - Elementary,3-4,False
JAPN 106,Japanese II - Elementary/Intermediate,3-4,False
JAPN 107,Japanese III - Intermediate,3-4,True
JAPN 200,Japanese Grammar and Composition,3,True
JAPN 201,Advanced Intermediate Japanese I,3,True
JAPN 202,Advanced Intermediate Japanese II,3,True
JAPN 205,Japanese Conversation,3,True
JAPN 206,Culture Through Conversation,3-6,True
JAPN 208,Contemporary Japan I,3,True
JAPN 209,Intermediate Situational Japanese,3,True
JAPN 301,Advanced Japanese,3,True
JAPN 305,Japanese Conversation and Composition,3,True
JAPN 306,Practical Oral and Written Expression,3-6,True
JAPN 308,Contemporary Japan II,3,True
JAPN 355,Special Topics,3,True
JAPN 401,Using Japanese: Issues in Contemporary Society,3,True
JAPN 405,Japanese Translation: Theory and Practice,3-9,True
JAPN 455,Topics: Japanese Literature and Culture,3,True
JAPN 490,Research Thesis in Japanese,3,True
KORE 105,Korean I - Elementary,4,False
KORE 106,Korean II - Elementary/Intermediate,4,False
KORE 107,Korean III - Intermediate,4,True
KORE 200,Korean Grammar and Composition,3,True
LLCU 105,Modern Language I - Elementary,4,False
LLCU 106,Modern Language II - Elementary/Intermediate,4,False
LLCU 107,Modern Language III - Intermediate,4,True
LATN 101,Elementary Latin I,3,False
LATN 102,Elementary Latin II,3,False
LATN 201,Intermediate Latin Prose,3,False
LATN 202,Intermediate Latin Poetry,3,True
LATN 301,Advanced Intermediate Latin Prose,3,True
LATN 302,Advanced Intermediate Latin Poetry,3,True
LATN 401,Advanced Latin Prose,3,True
LATN 402,Advanced Latin Poetry,3,True
LATN 403,Roman Lyric Poetry,3,True
MUSC 153,Private Study for Bachelor of Arts and Minors I,2,False
MUSC 195,Foundations of Music Theory,3,False
MUSC 211,"Music, History, and Ideas",3,False
MUSC 311,Music History: 400 through 1600,3,True
MUSC 312,Music History: 1600 through 1827,3,True
MUSC 313,Music History: 1827 to the Present,3,True
MUSC 328,Choral Literature,2,True
MUSC 402,Keyboard Literature,3,True
MUSC 403,Chamber Music Literature,3,True
MUSC 405,Symphonic Literature,3,True
MUSC 407,Contemporary Music Literature,3,True
MUSC 484,Recording and Media Techniques,3,True
MUSC 485,Principles of Music Industry Practice,3,True
POSC 301,Local Government and Politics,3,True
POSC 309,Political Culture By Country,3,True
POSC 310,European Politics,3,True
POSC 313,American Foreign Policy,3,True
POSC 316,International Political Economy,3,True
POSC 320,Parties and Interest Groups,3,True
POSC 324,Voting and Elections,3,True
POSC 330,Political Terrorism,3,True
POSC 339,European Union,3,True
POSC 340,Politics and the Media,3,True
POSC 350,Politics and the Environment,3,True
POSC 377,Arab-Israeli Politics,3,True
POSC 407,American Presidency,3,True
POSC 409,Topics in World Politics,3,True
POSC 413,Topics in American Politics,3,True
POSC 417,National Security Policy,3,True
PORT 216,Portuguese for Spanish Speakers I,3,True
PORT 316,Intensive Portuguese for Spanish Speakers II,3,True
PSYC 310,Sensation and Perception,3,True
PSYC 312,Learning and Motivation,3,True
PSYC 340,Cognition,3,True
PSYC 370,Research in Personality,3,True
PSYC 390,Social Psychology,3,True
PSYC 447,Psychology of the Arts,3,True
RUSS 105,Russian I - Elementary,4,False
RUSS 106,Russian II - Elementary/Intermediate,4,False
RUSS 107,Russian III - Intermediate,4,True
RUSS 200,Russian Grammar Review,3,True
RUSS 205,Russian Conversation,3,True
RUSS 305,Russian Conversation and Composition,3,True
RUSS 310,Introduction to Russian Literature I,3,True
RUSS 312,Introduction to Russian Literature II,3,True
RUSS 325,Russian Civilization and Culture,3,True
RUSS 401,Advanced Russian Grammar and Composition,3,True
RUSS 440,"Special Topics: Russian Drama, Prose or Poetry",3,True
RUSS 455,"Selected Authors, Works and Themes",3,True
RUSS 465,Seminar,3,True
SOCI 203,Self and Society,3,False
SOCI 312,Theories of Society,3,True
SOCI 323,Sociology of Risk,3,True
SOCI 341,Welfare and Society,3,True
SOCI 348,Theories of Social Work Practice,3,True
SOCI 415,"Race, Class, and Gender",3,True
SOCI 416,Social Thought and Contemporary Society,3,True
SOCI 418,"Race, Gender, and Poverty",3,True
SOCI 428,Corporate Crime,3,True
SOCI 430,Comparative Sociology,3-6,True
SOCI 450,Politics and Society,3,True
SPAN 105,Spanish I - Elementary,4,False
SPAN 106,Spanish II - Elementary/Intermediate,4,False
SPAN 107,Spanish III - Intermediate,4,True
SPAN 200,Spanish Composition and Grammar,3,True
SPAN 205,Spanish Conversation,3,True
SPAN 206,Culture through Conversation,3,True
SPAN 300,Advanced Spanish Composition and Grammar I,3,True
SPAN 301,El Cid to Cervantes: Spanish Cultures through Literature I,3,True
SPAN 302,Modern Spanish Cultures Through Literature,3,True
SPAN 303,Latin American Cultures Through Literature: 1492-1898,3,True
SPAN 304,Latin American Cultures Through Literature: 1898-Present,3,True
SPAN 305,Oral Communication,3,True
